model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,nl_binary_score,3393,3393,0.4468022399056882,0.30297671676982024,0.14382552313586797,0.2770409666961391,0.27615679339817273,0.30297671676982024,0.15915119363395228,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,symbolic_matched_binary_score,3393,3393,0.47774830533451224,0.32950191570881227,0.14824638962569997,0.3309755378720896,0.19127615679339818,0.32950191570881227,0.1812555260831123,0.0
qwen3_8b,Qwen3-8B,symbolic_control,symbolic_control,symbolic_shuffled_binary_score,3393,3393,0.40200412614205716,0.24786324786324787,0.15414087827880932,0.08930150309460655,0.5086943707633362,0.24786324786324787,0.09372236958443855,0.0
