model,model_display_name,diagnostic_source,dataset_variant,n_valid_pairs,rescue_count,harm_count,rescue_rate_over_nl_failures,harm_rate_over_nl_successes,net_rescue_rate
qwen3_8b,Qwen3-8B,stress,anticommonsense,100,15,18,0.29411764705882354,0.3673469387755102,-0.03
qwen3_8b,Qwen3-8B,stress,commonsense,100,17,10,0.3541666666666667,0.19230769230769232,0.07
qwen3_8b,Qwen3-8B,stress,easy,100,13,8,0.2653061224489796,0.1568627450980392,0.05
qwen3_8b,Qwen3-8B,stress,hard,100,16,16,0.2909090909090909,0.35555555555555557,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,100,10,13,0.19607843137254902,0.2653061224489796,-0.03
