model,model_display_name,sample_mode,prompt_mode,transition,n,pcc,invalid_pair_rate
qwen3_0_6b,Qwen3-0.6B,formal,direct,1→2,997,0.526579739217653,0.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,1→3,1238,0.49434571890145396,0.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,2→3,1138,0.5219683655536028,0.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,1→2,997,0.526579739217653,0.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,1→3,1238,0.49434571890145396,0.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,2→3,1138,0.5219683655536028,0.0
