model,model_display_name,sample_mode,prompt_mode,n,accuracy,parse_rate,invalid_rate,latency_sec
qwen3_0_6b,Qwen3-0.6B,formal,direct,640,0.5,1.0,0.0,0.023824567827796274
qwen3_0_6b,Qwen3-0.6B,formal,structured,640,0.5,1.0,0.0,0.01957850560756924
