model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,nl_binary_score,strict_ccc,390,0.6743589743589744,0.5923076923076923,0.08205128205128205,0.020512820512820513,0.14108974358974352,0.002
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,nl_binary_score,scca,390,0.6512820512820513,0.541025641025641,0.11025641025641025,0.04871794871794872,0.16923076923076924,0.0
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,nl_binary_score,wrong_flip,390,0.023076923076923078,0.05128205128205128,-0.028205128205128206,-0.05384615384615385,0.0,0.983
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,nl_binary_score,signed_ccc,390,0.6282051282051282,0.4897435897435897,0.13846153846153847,0.06923076923076923,0.21025641025641026,0.0
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,390,0.6743589743589744,0.5487179487179488,0.12564102564102564,0.06923076923076923,0.18461538461538463,0.0
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,390,0.6512820512820513,0.48205128205128206,0.16923076923076924,0.11025641025641025,0.23083333333333328,0.0
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,390,0.023076923076923078,0.06666666666666667,-0.04358974358974359,-0.06923076923076923,-0.015384615384615385,0.999
qwen3_4b,Qwen3-4B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,390,0.6282051282051282,0.4153846153846154,0.2128205128205128,0.14358974358974358,0.279551282051282,0.0
qwen3_4b,Qwen3-4B,ate,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,390,0.5487179487179488,0.5923076923076923,-0.04358974358974359,-0.09487179487179487,0.015384615384615385,0.939
qwen3_4b,Qwen3-4B,ate,symbolic_shuffled_binary_score,nl_binary_score,scca,390,0.48205128205128206,0.541025641025641,-0.05897435897435897,-0.1076923076923077,-0.005128205128205128,0.987
qwen3_4b,Qwen3-4B,ate,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,390,0.06666666666666667,0.05128205128205128,0.015384615384615385,-0.015384615384615385,0.046153846153846156,0.151
