model,model_display_name,diagnostic_source,dataset_variant,query_type,transition_pattern,n,total,rate
qwen3_4b,Qwen3-4B,main,main,ate,C-C-C,62,100,0.62
qwen3_4b,Qwen3-4B,main,main,ate,C-C-W,7,100,0.07
qwen3_4b,Qwen3-4B,main,main,ate,C-W-C,2,100,0.02
qwen3_4b,Qwen3-4B,main,main,ate,C-W-W,3,100,0.03
qwen3_4b,Qwen3-4B,main,main,ate,W-C-C,3,100,0.03
qwen3_4b,Qwen3-4B,main,main,ate,W-C-W,1,100,0.01
qwen3_4b,Qwen3-4B,main,main,ate,W-W-C,4,100,0.04
qwen3_4b,Qwen3-4B,main,main,ate,W-W-W,18,100,0.18
qwen3_4b,Qwen3-4B,main,main,backadj,C-C-C,50,100,0.5
qwen3_4b,Qwen3-4B,main,main,backadj,C-C-W,2,100,0.02
qwen3_4b,Qwen3-4B,main,main,backadj,W-W-W,48,100,0.48
qwen3_4b,Qwen3-4B,main,main,correlation,C-C-C,49,100,0.49
qwen3_4b,Qwen3-4B,main,main,correlation,C-C-W,5,100,0.05
qwen3_4b,Qwen3-4B,main,main,correlation,C-W-C,4,100,0.04
qwen3_4b,Qwen3-4B,main,main,correlation,C-W-W,7,100,0.07
qwen3_4b,Qwen3-4B,main,main,correlation,W-C-C,1,100,0.01
qwen3_4b,Qwen3-4B,main,main,correlation,W-C-W,1,100,0.01
qwen3_4b,Qwen3-4B,main,main,correlation,W-W-C,5,100,0.05
qwen3_4b,Qwen3-4B,main,main,correlation,W-W-W,28,100,0.28
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,C-C-C,30,60,0.5
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,C-C-W,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,C-W-C,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,C-W-W,1,60,0.016666666666666666
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,W-C-C,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,det-counterfactual,W-W-W,23,60,0.38333333333333336
qwen3_4b,Qwen3-4B,main,main,ett,C-C-C,20,60,0.3333333333333333
qwen3_4b,Qwen3-4B,main,main,ett,C-C-W,3,60,0.05
qwen3_4b,Qwen3-4B,main,main,ett,C-W-C,1,60,0.016666666666666666
qwen3_4b,Qwen3-4B,main,main,ett,C-W-W,4,60,0.06666666666666667
qwen3_4b,Qwen3-4B,main,main,ett,W-C-W,1,60,0.016666666666666666
qwen3_4b,Qwen3-4B,main,main,ett,W-W-C,3,60,0.05
qwen3_4b,Qwen3-4B,main,main,ett,W-W-W,28,60,0.4666666666666667
qwen3_4b,Qwen3-4B,main,main,marginal,C-C-C,39,100,0.39
qwen3_4b,Qwen3-4B,main,main,marginal,C-C-W,6,100,0.06
qwen3_4b,Qwen3-4B,main,main,marginal,C-W-C,7,100,0.07
qwen3_4b,Qwen3-4B,main,main,marginal,C-W-W,1,100,0.01
qwen3_4b,Qwen3-4B,main,main,marginal,W-C-C,5,100,0.05
qwen3_4b,Qwen3-4B,main,main,marginal,W-C-W,7,100,0.07
qwen3_4b,Qwen3-4B,main,main,marginal,W-W-C,5,100,0.05
qwen3_4b,Qwen3-4B,main,main,marginal,W-W-W,30,100,0.3
qwen3_4b,Qwen3-4B,main,main,nde,C-C-C,28,60,0.4666666666666667
qwen3_4b,Qwen3-4B,main,main,nde,C-C-W,6,60,0.1
qwen3_4b,Qwen3-4B,main,main,nde,C-W-W,3,60,0.05
qwen3_4b,Qwen3-4B,main,main,nde,W-C-C,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,nde,W-C-W,1,60,0.016666666666666666
qwen3_4b,Qwen3-4B,main,main,nde,W-W-C,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,nde,W-W-W,18,60,0.3
qwen3_4b,Qwen3-4B,main,main,nie,C-C-C,26,60,0.43333333333333335
qwen3_4b,Qwen3-4B,main,main,nie,C-C-W,3,60,0.05
qwen3_4b,Qwen3-4B,main,main,nie,C-W-C,5,60,0.08333333333333333
qwen3_4b,Qwen3-4B,main,main,nie,C-W-W,3,60,0.05
qwen3_4b,Qwen3-4B,main,main,nie,W-C-W,2,60,0.03333333333333333
qwen3_4b,Qwen3-4B,main,main,nie,W-W-C,4,60,0.06666666666666667
qwen3_4b,Qwen3-4B,main,main,nie,W-W-W,17,60,0.2833333333333333
