model,model_display_name,sample_mode,prompt_mode,rung,n,accuracy,parse_rate
qwen3_4b,Qwen3-4B,formal,direct,1,200,0.595,1.0
qwen3_4b,Qwen3-4B,formal,direct,2,200,0.6,1.0
qwen3_4b,Qwen3-4B,formal,direct,3,240,0.5458333333333333,1.0
qwen3_4b,Qwen3-4B,formal,structured,1,200,0.555,1.0
qwen3_4b,Qwen3-4B,formal,structured,2,200,0.59,1.0
qwen3_4b,Qwen3-4B,formal,structured,3,240,0.5416666666666666,1.0
