model,model_display_name,prompt_mode,commonsense_accuracy,anticommonsense_accuracy,noncommonsense_accuracy,easy_accuracy,hard_accuracy,mean_accuracy,worst_split_accuracy,best_split_accuracy,std_across_splits,worst_split_scaffold_gain,mean_scaffold_gain
qwen3_8b,Qwen3-8B,nl,0.52,0.49,0.49,0.51,0.46,0.49399999999999994,0.46,0.52,0.020591260281974,-0.03999999999999998,0.0019999999999999905
qwen3_8b,Qwen3-8B,nl_formal,0.57,0.45,0.47,0.53,0.46,0.4960000000000001,0.45,0.57,0.04630334761116089,-0.03999999999999998,0.0019999999999999905
