pair_index,pair_id,story_id,query_type,rung,component,layer,clean_id,corrupted_id,clean_label,corrupted_gold_label,clean_target_margin,corrupted_clean_target_margin,patched_clean_target_margin,recovery,corrupted_gold_margin,patched_corrupted_gold_margin,corrupted_gold_recovery,method,model,model_display_name,sample_mode,candidate_source
1,5144->5133,firing_employee,ate,2,residual,25,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,26,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,27,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,28,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,29,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,30,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,31,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,32,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,33,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,34,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
1,5144->5133,firing_employee,ate,2,residual,35,5144,5133,yes,no,12.125,10.75,12.125,1.375,-10.75,-12.125,-1.375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,0,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,1,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,2,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,3,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,4,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,5,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,6,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
