model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n_pairs,strict_ccc,invalid_pair_rate
qwen3_8b,Qwen3-8B,main,main,formula_only,ate,53,0.5283018867924528,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,backadj,50,0.42,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,correlation,98,0.5714285714285714,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,det-counterfactual,1,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,ett,19,0.47368421052631576,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,marginal,63,0.14285714285714285,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,nde,45,0.35555555555555557,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,nie,29,0.4482758620689655,0.0
qwen3_8b,Qwen3-8B,main,main,nl,ate,53,0.6226415094339622,0.0
qwen3_8b,Qwen3-8B,main,main,nl,backadj,50,0.72,0.0
qwen3_8b,Qwen3-8B,main,main,nl,correlation,98,0.4897959183673469,0.0
qwen3_8b,Qwen3-8B,main,main,nl,det-counterfactual,1,1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl,ett,19,0.3157894736842105,0.0
qwen3_8b,Qwen3-8B,main,main,nl,marginal,63,0.4126984126984127,0.0
qwen3_8b,Qwen3-8B,main,main,nl,nde,45,0.28888888888888886,0.0
qwen3_8b,Qwen3-8B,main,main,nl,nie,29,0.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,ate,53,0.6415094339622641,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,backadj,50,0.66,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,correlation,98,0.4387755102040816,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,det-counterfactual,1,1.0,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,ett,19,0.47368421052631576,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,marginal,63,0.4126984126984127,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,nde,45,0.2222222222222222,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,nie,29,0.27586206896551724,0.0
