eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,12,qwen3_4b,Qwen3-4B,query_router,Query Router,1169,0.5799828913601369,0.5064157399486741
control_cv,12,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1169,0.5885372112917023,0.40633019674935844
control_cv,13,qwen3_4b,Qwen3-4B,always_nl,Always NL,997,0.5667001003009027,0.0
control_cv,13,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,997,0.5837512537612839,1.0
control_cv,13,qwen3_4b,Qwen3-4B,query_router,Query Router,997,0.5747241725175527,0.3721163490471414
control_cv,13,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,997,0.5767301905717152,0.48746238716148443
control_cv,14,qwen3_4b,Qwen3-4B,always_nl,Always NL,1018,0.5913555992141454,0.0
control_cv,14,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1018,0.6168958742632613,1.0
control_cv,14,qwen3_4b,Qwen3-4B,query_router,Query Router,1018,0.6070726915520629,0.4086444007858546
control_cv,14,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1018,0.6110019646365422,0.43713163064833005
control_cv,15,qwen3_4b,Qwen3-4B,always_nl,Always NL,1216,0.5756578947368421,0.0
control_cv,15,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1216,0.5888157894736842,1.0
control_cv,15,qwen3_4b,Qwen3-4B,query_router,Query Router,1216,0.584703947368421,0.38651315789473684
control_cv,15,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1216,0.5986842105263158,0.48930921052631576
control_cv,16,qwen3_4b,Qwen3-4B,always_nl,Always NL,1065,0.5568075117370892,0.0
control_cv,16,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1065,0.5521126760563381,1.0
control_cv,16,qwen3_4b,Qwen3-4B,query_router,Query Router,1065,0.5549295774647888,0.49577464788732395
control_cv,16,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1065,0.5690140845070423,0.5004694835680751
control_cv,17,qwen3_4b,Qwen3-4B,always_nl,Always NL,962,0.5613305613305614,0.0
control_cv,17,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,962,0.5925155925155925,1.0
control_cv,17,qwen3_4b,Qwen3-4B,query_router,Query Router,962,0.5706860706860707,0.40644490644490644
control_cv,17,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,962,0.5862785862785863,0.4760914760914761
control_cv,18,qwen3_4b,Qwen3-4B,always_nl,Always NL,1116,0.5797491039426523,0.0
control_cv,18,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1116,0.5743727598566308,1.0
control_cv,18,qwen3_4b,Qwen3-4B,query_router,Query Router,1116,0.5725806451612904,0.503584229390681
control_cv,18,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1116,0.5833333333333334,0.47939068100358423
