eval_set,model,model_display_name,prompt_mode,prompt_condition,n_splits,mean_accuracy,accuracy_ci_low,accuracy_ci_high,mean_gain_vs_nl,gain_ci_low,gain_ci_high,p_gain_le_0,mean_symbolic_selection_rate
control_cv,qwen3_4b,Qwen3-4B,always_nl,Always NL,100,0.5814375469062074,0.5527661164180773,0.6086219287754422,0.0,0.0,0.0,1.0,0.0
control_cv,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,100,0.5871418538790968,0.5542901236975104,0.6166254360290285,0.005704306972889364,-0.02032309496379195,0.0313443783625081,0.38,1.0
control_cv,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,100,0.5931531543243082,0.5634341382307302,0.6195606027742944,0.011715607418100564,-0.010393145161290295,0.0287646484375,0.14,0.505893686289179
control_cv,qwen3_4b,Qwen3-4B,query_router,Query Router,100,0.5863487912601856,0.5556780091756618,0.6135899197241528,0.004911244353978105,-0.017268123667377372,0.019161039342337063,0.32,0.5267954146227981
control_cv,qwen3_8b,Qwen3-8B,always_nl,Always NL,100,0.5618145581532819,0.5333556884292179,0.5828841230739507,0.0,0.0,0.0,1.0,0.0
control_cv,qwen3_8b,Qwen3-8B,always_symbolic,Always Symbolic,100,0.5634695401763348,0.5350349838710724,0.5894163796402603,0.0016549820230528577,-0.01712604491698448,0.018035165077908664,0.46,1.0
control_cv,qwen3_8b,Qwen3-8B,confidence_by_query,Confidence Router,100,0.5713775905696871,0.541934945478822,0.5958822738392631,0.009563032416405243,-0.00564583044495702,0.025786555602716532,0.13,0.5688955859151299
control_cv,qwen3_8b,Qwen3-8B,query_router,Query Router,100,0.5709005130968837,0.5480156807751148,0.5960961507358887,0.009085954943601844,-0.004171057919693097,0.023711396821294736,0.08,0.6698627457678203
